ens	symbol	length	weight
7592	ENSG00000287605	AC109131.1	8883	1
7593	ENSG00000242012	AC084211.1	3109	0
7594	ENSG00000241098	LINC01994	39394	0
7595	ENSG00000244247	LINC01995	38585	0
7596	ENSG00000287941	AC021055.1	29717	1
7597	ENSG00000238837	LINC02031	11666	0
7598	ENSG00000260377	AC083801.2	1179	0
7599	ENSG00000240063	AC069431.1	10158	0
7600	ENSG00000058063	ATP11B	128126	1
7601	ENSG00000273261	AC092953.2	698	0
7602	ENSG00000043093	DCUN1D1	47879	1
7603	ENSG00000078070	MCCC1	100857	0
7604	ENSG00000243368	MCCC1-AS1	1553	0
7605	ENSG00000078081	LAMP3	41624	1
7606	ENSG00000053524	MCF2L2	250735	1
7607	ENSG00000176597	B3GNT5	45251	1
7608	ENSG00000172578	KLHL6	68155	1
7609	ENSG00000242522	KLHL6-AS1	3591	0
7610	ENSG00000114796	KLHL24	48909	1
7611	ENSG00000163872	YEATS2	114827	1
7612	ENSG00000233885	YEATS2-AS1	4326	0
7613	ENSG00000180834	MAP6D1	9718	1
7614	ENSG00000175193	PARL	55662	0
7615	ENSG00000114770	ABCC5	98005	1
7616	ENSG00000223882	ABCC5-AS1	5081	0
7617	ENSG00000186090	HTR3D	7825	1
7618	ENSG00000178084	HTR3C	7626	1
7619	ENSG00000238020	HTR3E-AS1	10060	0
7620	ENSG00000186038	HTR3E	9931	1
7621	ENSG00000273181	AC131235.3	619	0
7622	ENSG00000272721	AC131235.2	1219	0
7623	ENSG00000145191	EIF2B5	11089	0.5
7624	ENSG00000161202	DVL3	18237	0.5
7625	ENSG00000161203	AP2M1	9402	0.5
7626	ENSG00000161204	ABCF3	7989	0.5
7627	ENSG00000145198	VWA5B2	11900	1
7628	ENSG00000214160	ALG3	7247	1
7629	ENSG00000284753	EEF1AKMT4	9935	1
7630	ENSG00000163888	CAMK2N2	2340	1
7631	ENSG00000145194	ECE2	17020	1
7632	ENSG00000175166	PSMD2	9852	0.5
7633	ENSG00000114867	EIF4G1	20863	0.5
7634	ENSG00000175182	FAM131A	12495	1
7635	ENSG00000114859	CLCN2	15465	1
7636	ENSG00000163882	POLR2H	6878	0.5
7637	ENSG00000090534	THPO	10033	1
7638	ENSG00000090539	CHRD	10663	1
7639	ENSG00000224153	LINC02054	58101	0
7640	ENSG00000227509	LINC01839	3286	1
7641	ENSG00000230215	LINC01840	10204	0
7642	ENSG00000182580	EPHB3	20623	1
7643	ENSG00000177383	MAGEF1	1700	0.5
7644	ENSG00000272970	AC107294.2	68475	0
7645	ENSG00000229433	LINC02069	48165	0
7646	ENSG00000273403	AC107294.3	525	0
7647	ENSG00000272922	AC107294.1	466	0
7648	ENSG00000156931	VPS8	240471	1
7649	ENSG00000187068	C3orf70	76222	1
7650	ENSG00000223358	EHHADH-AS1	29084	0
7651	ENSG00000113790	EHHADH	91366	0
7652	ENSG00000073803	MAP3K13	206153	1
7653	ENSG00000163900	TMEM41A	22561	0.5
7654	ENSG00000286086	AC099661.1	1969	1
7655	ENSG00000163898	LIPH	46326	1
7656	ENSG00000163904	SENP2	51055	0.5
7657	ENSG00000073792	IGF2BP2	181317	1
7658	ENSG00000163915	IGF2BP2-AS1	17259	0
7659	ENSG00000136527	TRA2B	23545	0.5
7660	ENSG00000244405	ETV5	64004	1
7661	ENSG00000234197	ETV5-AS1	1777	0
7662	ENSG00000058866	DGKG	256566	1
7663	ENSG00000234548	LINC02020	18060	0
7664	ENSG00000224406	LINC02052	38692	0
7665	ENSG00000226859	LINC02051	1643	0
7666	ENSG00000213139	CRYGS	8261	1
7667	ENSG00000113838	TBCCD1	24476	0.5
7668	ENSG00000090520	DNAJB11	18397	0
7669	ENSG00000197099	AC068631.1	193510	0
7670	ENSG00000145192	AHSG	8258	1
7671	ENSG00000090512	FETUB	17172	1
7672	ENSG00000113905	HRG	18024	1
7673	ENSG00000113889	KNG1	27062	1
7674	ENSG00000263826	AC112907.3	2399	0
7675	ENSG00000156976	EIF4A2	6692	1
7676	ENSG00000163918	RFC4	17178	1
7677	ENSG00000231724	AC112907.1	10429	0
7678	ENSG00000232233	LINC02043	14641	0
7679	ENSG00000181092	ADIPOQ	15759	1
7680	ENSG00000226482	ADIPOQ-AS1	4237	0
7681	ENSG00000073849	ST6GAL1	148051	1
7682	ENSG00000163923	RPL39L	59960	0
7683	ENSG00000198491	AC007920.1	10539	0
7684	ENSG00000175077	RTP1	3976	1
7685	ENSG00000127241	MASP1	74737	1
7686	ENSG00000283175	AC007920.2	6661	1
7687	ENSG00000136514	RTP4	3691	1
7688	ENSG00000228952	LINC02041	605	0
7689	ENSG00000157005	SST	1482	1
7690	ENSG00000198471	RTP2	4298	1
7691	ENSG00000228804	AC072022.1	31536	0
7692	ENSG00000113916	BCL6	24348	1
7693	ENSG00000285938	AC072022.2	2342	1
7694	ENSG00000224049	AC108681.1	9071	0
7695	ENSG00000236864	AC068295.1	13457	0
7696	ENSG00000224187	LINC01991	17632	0
7697	ENSG00000225058	AC092941.1	6568	0
7698	ENSG00000236412	AC092941.2	1706	0
7699	ENSG00000234238	AC022498.1	40238	0
7700	ENSG00000270959	LPP-AS2	2851	0
7701	ENSG00000145012	LPP	737387	1
7702	ENSG00000224563	LPP-AS1	6428	0
7703	ENSG00000234076	TPRG1-AS1	5924	0
7704	ENSG00000188001	TPRG1	378090	1
7705	ENSG00000230115	TPRG1-AS2	1908	0
7706	ENSG00000073282	TP63	265887	1
7707	ENSG00000090530	P3H2	165709	1
7708	ENSG00000225764	P3H2-AS1	24143	0
7709	ENSG00000163347	CLDN1	16739	1
7710	ENSG00000113946	CLDN16	89602	1
7711	ENSG00000198398	TMEM207	21221	1
7712	ENSG00000196083	IL1RAP	145699	1
7713	ENSG00000273370	AC108747.1	534	0
7714	ENSG00000228730	LINC02013	18893	0
7715	ENSG00000205835	GMNC	39692	1
7716	ENSG00000188729	OSTN	66374	1
7717	ENSG00000233308	OSTN-AS1	21314	0
7718	ENSG00000188958	UTS2B	63368	1
7719	ENSG00000152492	CCDC50	69574	0.5
7720	ENSG00000223812	AC073365.1	165604	0
7721	ENSG00000253548	PYDC2	293	1
7722	ENSG00000232353	AC026320.1	6677	0
7723	ENSG00000287178	AC026320.3	40914	1
7724	ENSG00000114279	FGF12	628369	1
7725	ENSG00000231383	FGF12-AS1	45060	0
7726	ENSG00000230126	FGF12-AS2	1551	0
7727	ENSG00000226709	FGF12-AS3	4567	0
7728	ENSG00000180611	MB21D2	121041	1
7729	ENSG00000232130	AC092966.1	32400	0
7730	ENSG00000127252	PLAAT1	36610	1
7731	ENSG00000187527	ATP13A5	104031	1
7732	ENSG00000236508	ATP13A5-AS1	7118	0
7733	ENSG00000127249	ATP13A4	194144	1
7734	ENSG00000225473	ATP13A4-AS1	1875	0
7735	ENSG00000198836	OPA1	104667	0
7736	ENSG00000224855	OPA1-AS1	8728	0
7737	ENSG00000286624	AC069421.2	1881	1
7738	ENSG00000287206	AC069421.3	10884	1
7739	ENSG00000229155	LINC02038	1464	0
7740	ENSG00000214146	LINC02026	46388	0
7741	ENSG00000238043	AC024559.1	25484	0
7742	ENSG00000230102	LINC02028	65766	1
7743	ENSG00000276407	AC024559.2	16723	0
7744	ENSG00000229964	AC080129.1	17613	0
7745	ENSG00000232874	AC080129.2	585	0
7746	ENSG00000114315	HES1	2584	1
7747	ENSG00000225742	LINC02036	47811	0
7748	ENSG00000238097	LINC02037	13082	0
7749	ENSG00000228271	LINC02048	10686	0
7750	ENSG00000214145	LINC00887	26680	0
7751	ENSG00000286317	AC117469.1	1719	1
7752	ENSG00000178772	CPN2	11560	1
7753	ENSG00000172061	LRRC15	14496	1
7754	ENSG00000178732	GP5	3533	1
7755	ENSG00000133657	ATP13A3	95692	1
7756	ENSG00000233058	LINC00884	34016	0
7757	ENSG00000244675	AC108676.1	5186	1
7758	ENSG00000231770	TMEM44-AS1	6256	0
7759	ENSG00000145014	TMEM44	46016	1
7760	ENSG00000229334	AC046143.1	12478	0
7761	ENSG00000272707	AC046143.2	159	0
7762	ENSG00000041802	LSG1	31672	0.5
7763	ENSG00000185112	FAM43A	3154	1
7764	ENSG00000233987	AC106706.1	25008	0
7765	ENSG00000287073	AC106706.2	1385	1
7766	ENSG00000237222	LINC01968	117915	0
7767	ENSG00000230401	LINC01972	3474	0
7768	ENSG00000238031	AC090505.2	4702	0
7769	ENSG00000173950	XXYLT1	202875	1
7770	ENSG00000233303	XXYLT1-AS1	1469	0
7771	ENSG00000230266	XXYLT1-AS2	4919	0
7772	ENSG00000287005	AC090018.2	2996	1
7773	ENSG00000114331	ACAP2	168299	1
7774	ENSG00000229325	ACAP2-IT1	2018	1
7775	ENSG00000184203	PPP1R2	28958	1
7776	ENSG00000223711	AC069213.1	6533	0
7777	ENSG00000189058	APOD	15328	1
7778	ENSG00000229178	AC233280.1	2362	0
7779	ENSG00000176945	MUC20	20239	1
7780	ENSG00000145113	MUC4	65208	1
7781	ENSG00000223783	LINC01983	24211	0
7782	ENSG00000061938	TNK2	48581	1
7783	ENSG00000286004	AC124944.3	2431	1
7784	ENSG00000224614	TNK2-AS1	5910	0
7785	ENSG00000286168	AC024937.3	31432	1
7786	ENSG00000072274	TFRC	54913	1
7787	ENSG00000224652	LINC00885	18368	0
7788	ENSG00000163958	ZDHHC19	13985	1
7789	ENSG00000163959	SLC51A	31691	1
7790	ENSG00000161217	PCYT1A	73735	0.5
7791	ENSG00000228028	AC069257.1	1112	0
7792	ENSG00000213123	TCTEX1D2	27080	1
7793	ENSG00000235897	TM4SF19-AS1	7240	0
7794	ENSG00000145107	TM4SF19	19161	1
7795	ENSG00000163960	UBXN7	84768	1
7796	ENSG00000225822	UBXN7-AS1	1145	0
7797	ENSG00000163961	RNF168	34985	1
7798	ENSG00000273013	AC117490.2	593	0
7799	ENSG00000214097	SMCO1	8467	1
7800	ENSG00000185798	WDR53	14497	1
7801	ENSG00000174013	FBXO45	20448	0.5
7802	ENSG00000286661	AC092933.2	10861	1
7803	ENSG00000232065	LINC01063	1089	0
7804	ENSG00000174004	NRROS	22310	1
7805	ENSG00000163964	PIGX	96232	0.5
7806	ENSG00000174007	CEP19	5973	1
7807	ENSG00000180370	PAK2	92790	0.5
7808	ENSG00000119231	SENP5	66858	0.5
7809	ENSG00000230732	AC016949.1	1933	1
7810	ENSG00000114503	NCBP2	7192	0.5
7811	ENSG00000225578	NCBP2-AS1	2657	0
7812	ENSG00000270170	NCBP2AS2	869	1
7813	ENSG00000119227	PIGZ	22704	1
7814	ENSG00000286017	AC011322.1	5488	1
7815	ENSG00000163975	MELTF	41196	1
7816	ENSG00000228109	MELTF-AS1	5284	0
7817	ENSG00000075711	DLG1	256770	0.5
7818	ENSG00000227375	DLG1-AS1	5503	0
7819	ENSG00000286870	AL121981.1	6762	1
7820	ENSG00000235126	AC128709.2	13262	0
7821	ENSG00000229912	AC128709.1	6327	0
7822	ENSG00000237167	AC128709.3	8700	0
7823	ENSG00000272989	LINC02012	1724	0
7824	ENSG00000161267	BDH1	63540	0
7825	ENSG00000273308	AC024560.3	348	0
7826	ENSG00000286909	AC024560.4	2179	1
7827	ENSG00000236833	AC024560.1	5192	0
7828	ENSG00000287286	AC024560.5	9547	1
7829	ENSG00000145016	RUBCN	80860	1
7830	ENSG00000122068	FYTTD1	50417	0.5
7831	ENSG00000273375	AC055764.2	669	0
7832	ENSG00000186001	LRCH3	97210	1
7833	ENSG00000234136	AC055764.1	611	0
7834	ENSG00000114473	IQCG	71065	1
7835	ENSG00000182899	RPL35A	6420	0
7836	ENSG00000185621	LMLN	83520	1
7837	ENSG00000286755	AC135893.1	8014	1
7838	ENSG00000232832	LMLN-AS1	913	0
7839	ENSG00000272602	ZNF595	34922	1
7840	ENSG00000250312	ZNF718	77802	1
7841	ENSG00000275426	AC253576.2	579	1
7842	ENSG00000186777	ZNF732	34799	1
7843	ENSG00000286705	AC079140.6	30098	1
7844	ENSG00000131127	ZNF141	47054	1
7845	ENSG00000281016	AC092574.2	67896	0
7846	ENSG00000272885	AC092574.1	419	0
7847	ENSG00000182903	ZNF721	73341	0.5
7848	ENSG00000174227	PIGG	40990	0.5
7849	ENSG00000273238	TMEM271	2420	0
7850	ENSG00000283183	AC116565.1	40908	1
7851	ENSG00000133256	PDE6B	45198	1
7852	ENSG00000242686	AC107464.1	3363	0
7853	ENSG00000272927	AC107464.3	736	0
7854	ENSG00000169020	ATP5ME	1894	0
7855	ENSG00000215375	MYL5	8453	1
7856	ENSG00000169026	SLC49A3	7612	1
7857	ENSG00000185619	PCGF3	64892	1
7858	ENSG00000248416	AC107464.2	1759	0
7859	ENSG00000272588	AC139887.4	718	0
7860	ENSG00000249592	AC139887.2	21657	0
7861	ENSG00000233799	AC139887.1	587	0
7862	ENSG00000168993	CPLX1	41172	1
7863	ENSG00000260262	AC139887.3	712	0
7864	ENSG00000286205	AC139887.5	2331	1
7865	ENSG00000178950	GAK	83097	0
7866	ENSG00000127419	TMEM175	26269	1
7867	ENSG00000145214	DGKQ	28008	1
7868	ENSG00000145217	SLC26A1	14367	1
7869	ENSG00000127415	IDUA	17567	1
7870	ENSG00000127418	FGFRL1	16962	1
7871	ENSG00000250259	AC019103.1	1294	0
7872	ENSG00000178222	RNF212	57314	1
7873	ENSG00000251652	AC092535.4	19338	0
7874	ENSG00000227189	AC092535.2	2329	0
7875	ENSG00000159674	SPON2	42030	1
7876	ENSG00000273179	AC092535.5	396	0
7877	ENSG00000280927	CTBP1-AS	8471	0
7878	ENSG00000159692	CTBP1	38505	0.5
7879	ENSG00000196810	CTBP1-DT	38991	0
7880	ENSG00000090316	MAEA	50260	0.5
7881	ENSG00000163945	UVSSA	40841	1
7882	ENSG00000254094	AC078852.2	1494	1
7883	ENSG00000253399	AC078852.1	982	1
7884	ENSG00000288380	CRIPAK	4440	1
7885	ENSG00000235608	NKX1-1	3399	1
7886	ENSG00000272783	AC147067.2	288	0
7887	ENSG00000244459	AC147067.1	6191	0
7888	ENSG00000174137	FAM53A	66387	1
7889	ENSG00000163950	SLBP	19613	1
7890	ENSG00000270195	AC016773.1	3124	0
7891	ENSG00000013810	TACC3	32285	1
7892	ENSG00000168936	TMEM129	5406	0.5
7893	ENSG00000068078	FGFR3	15579	1
7894	ENSG00000168924	LETM1	44677	0
7895	ENSG00000109685	NSD2	110814	1
7896	ENSG00000185049	NELFA	59186	1
7897	ENSG00000243449	C4orf48	1977	1
7898	ENSG00000185818	NAT8L	9577	1
7899	ENSG00000130997	POLN	170203	1
7900	ENSG00000214367	HAUS3	163278	0.5
7901	ENSG00000250623	AL136360.2	1385	0
7902	ENSG00000123933	MXD4	14677	0.5
7903	ENSG00000159733	ZFYVE28	149081	1
7904	ENSG00000251148	AL158068.2	23505	0
7905	ENSG00000206113	CFAP99	43968	1
7906	ENSG00000063978	RNF4	163100	0.5
7907	ENSG00000248399	AL645924.1	327	1
7908	ENSG00000125386	FAM193A	195934	1
7909	ENSG00000168884	TNIP2	14694	1
7910	ENSG00000087266	SH3BP2	48027	1
7911	ENSG00000087274	ADD1	86219	1
7912	ENSG00000287099	AL121750.1	2690	1
7913	ENSG00000109736	MFSD10	4273	1
7914	ENSG00000249673	NOP14-AS1	26856	0
7915	ENSG00000087269	NOP14	25473	0.5
7916	ENSG00000125388	GRK4	77189	1
7917	ENSG00000197386	HTT	202538	0.5
7918	ENSG00000251075	HTT-AS	25444	0
7919	ENSG00000188981	MSANTD1	27369	1
7920	ENSG00000159788	RGS12	146885	1
7921	ENSG00000109758	HGFAC	7608	1
7922	ENSG00000286900	AL590235.2	2470	1
7923	ENSG00000175920	DOK7	38167	1
7924	ENSG00000163956	LRPAP1	28834	0.5
7925	ENSG00000270090	AL590235.1	4241	0
7926	ENSG00000216560	LINC00955	13842	1
7927	ENSG00000250681	AL121796.1	946	0
7928	ENSG00000250632	LINC02171	4262	0
7929	ENSG00000250986	LINC02600	4642	0
7930	ENSG00000184160	ADRA2C	2178	1
7931	ENSG00000163982	OTOP1	38086	1
7932	ENSG00000132406	TMEM128	12681	0.5
7933	ENSG00000145220	LYAR	22453	1
7934	ENSG00000168826	ZBTB49	31535	1
7935	ENSG00000248516	AC105415.1	12220	0
7936	ENSG00000168824	NSG1	70918	1
7937	ENSG00000168818	STX18	126604	1
7938	ENSG00000248221	STX18-IT1	5579	1
7939	ENSG00000247708	STX18-AS1	245228	0
7940	ENSG00000273396	LINC01396	6639	0
7941	ENSG00000163132	MSX1	4271	1
7942	ENSG00000170891	CYTL1	4872	1
7943	ENSG00000152953	STK32B	449514	1
7944	ENSG00000082929	LINC01587	3232	1
7945	ENSG00000173040	EVC2	166776	1
7946	ENSG00000072840	EVC	103104	1
7947	ENSG00000072832	CRMP1	145002	1
7948	ENSG00000181215	C4orf50	303182	1
7949	ENSG00000152969	JAKMIP1	174392	1
7950	ENSG00000284684	AC092442.1	5185	1
7951	ENSG00000287786	AC113615.2	6739	1
7952	ENSG00000251408	AC113615.1	4321	0
7953	ENSG00000109501	WFS1	33416	1
7954	ENSG00000286176	AC116317.1	16267	1
7955	ENSG00000074211	PPP2R2C	243022	1
7956	ENSG00000013288	MAN2B2	48173	0.5
7957	ENSG00000179010	MRFAP1	2654	0.5
7958	ENSG00000251580	LINC02482	25270	0
7959	ENSG00000170846	AC093323.1	13359	0
7960	ENSG00000246526	LINC002481	3071	0
7961	ENSG00000163993	S100P	3292	1
7962	ENSG00000178988	MRFAP1L1	2164	0.5
7963	ENSG00000186222	BLOC1S4	1490	0.5
7964	ENSG00000287331	AC106045.1	4152	1
7965	ENSG00000170871	KIAA0232	102795	0.5
7966	ENSG00000132405	TBC1D14	123876	0.5
7967	ENSG00000287104	AC097382.3	1110	1
7968	ENSG00000187904	AC097382.1	3617	1
7969	ENSG00000245748	AC097382.2	15677	0
7970	ENSG00000173013	CCDC96	2152	1
7971	ENSG00000173011	TADA2B	16053	1
7972	ENSG00000109519	GRPEL1	9169	0
7973	ENSG00000245468	LINC02447	9618	0
7974	ENSG00000184985	SORCS2	550298	1
7975	ENSG00000178597	PSAPL1	4645	1
7976	ENSG00000272620	AFAP1-AS1	24838	0
7977	ENSG00000196526	AFAP1	181212	1
7978	ENSG00000287164	AC112254.1	9524	1
7979	ENSG00000228919	AC097381.1	1295	0
7980	ENSG00000163995	ABLIM2	193522	1
7981	ENSG00000273267	AC097381.3	461	0
7982	ENSG00000251460	AC097381.2	1196	0
7983	ENSG00000125089	SH3TC1	59731	1
7984	ENSG00000170801	HTRA3	37344	1
7985	ENSG00000249145	LINC02517	7060	0
7986	ENSG00000251615	AC104825.1	3248	0
7987	ENSG00000087008	ACOX3	74441	0
7988	ENSG00000155275	TRMT44	57391	1
7989	ENSG00000251186	AC105345.2	1532	0
7990	ENSG00000205959	AC105345.1	34489	0
7991	ENSG00000155269	GPR78	61036	1
7992	ENSG00000109625	CPZ	27099	1
7993	ENSG00000250915	AC209005.1	2336	0
7994	ENSG00000215612	HMX1	25763	1
7995	ENSG00000258507	AC116612.1	2112	1
7996	ENSG00000288075	AC108519.1	346750	1
7997	ENSG00000287972	AC073648.7	15581	1
7998	ENSG00000229924	FAM90A26	6321	1
7999	ENSG00000231396	USP17L10	1951	1
8000	ENSG00000233136	USP17L11	1951	1
8001	ENSG00000227551	USP17L12	1592	1
8002	ENSG00000232399	USP17L13	1951	1
8003	ENSG00000223569	USP17L15	1949	1
8004	ENSG00000249104	USP17L17	1951	1
8005	ENSG00000250844	USP17L18	1951	1
8006	ENSG00000248920	USP17L19	1951	1
8007	ENSG00000250745	USP17L20	1951	1
8008	ENSG00000249811	USP17L21	1951	1
8009	ENSG00000248933	USP17L22	1951	1
8010	ENSG00000250913	USP17L23	550	1
8011	ENSG00000232264	USP17L24	1951	1
8012	ENSG00000230430	USP17L25	1951	1
8013	ENSG00000229579	USP17L26	1951	1
8014	ENSG00000227140	USP17L5	1592	1
8015	ENSG00000235780	USP17L27	1592	1
8016	ENSG00000231051	USP17L28	1592	1
8017	ENSG00000231637	USP17L29	1592	1
8018	ENSG00000228856	USP17L30	1592	1
8019	ENSG00000186146	DEFB131A	5980	1
8020	ENSG00000287117	AC105916.1	124312	1
8021	ENSG00000109667	SLC2A9	283783	1
8022	ENSG00000169676	DRD5	2375	1
8023	ENSG00000249219	AC108199.1	1332	0
8024	ENSG00000250413	AC005674.1	3243	0
8025	ENSG00000261490	AC005674.2	4930	1
8026	ENSG00000071127	WDR1	42610	0.5
8027	ENSG00000178163	ZNF518B	17546	1
8028	ENSG00000287154	AC005599.1	74277	1
8029	ENSG00000109684	CLNK	198373	1
8030	ENSG00000249334	AC084048.1	12658	0
8031	ENSG00000283083	LINC02498	12028	0
8032	ENSG00000002587	HS3ST1	36414	1
8033	ENSG00000287778	AC006230.1	40928	1
8034	ENSG00000251152	AC025539.1	8946	0
8035	ENSG00000249631	AC005699.1	198192	0
8036	ENSG00000248300	LINC02360	28520	0
8037	ENSG00000248262	AC108037.1	5021	0
8038	ENSG00000251210	LINC02270	27841	0
8039	ENSG00000250371	AC007370.2	5860	0
8040	ENSG00000250098	AC007370.1	1096	0
8041	ENSG00000157869	RAB28	123011	1
8042	ENSG00000286297	AC006445.3	25313	1
8043	ENSG00000281202	LINC01097	8016	0
8044	ENSG00000109705	NKX3-2	3678	1
8045	ENSG00000246095	LINC01096	1726	0
8046	ENSG00000038219	BOD1L1	58987	1
8047	ENSG00000250634	LINC01182	349382	0
8048	ENSG00000250497	AC007126.1	4780	0
8049	ENSG00000251679	AC073848.1	8656	0
8050	ENSG00000249988	AC092546.1	78358	0
8051	ENSG00000287360	AC006296.3	94225	1
8052	ENSG00000251412	AC006296.2	25955	0
8053	ENSG00000248425	AC006296.1	3553	0
8054	ENSG00000248360	LINC00504	417704	0
8055	ENSG00000247624	CPEB2-DT	92084	0
8056	ENSG00000137449	CPEB2	67479	1
8057	ENSG00000249252	AC098829.1	422972	0
8058	ENSG00000163145	C1QTNF7	106348	1
8059	ENSG00000251379	AC099550.1	61891	0
8060	ENSG00000048342	CC2D2A	131692	1
8061	ENSG00000273133	AC116651.1	555	0
8062	ENSG00000118564	FBXL5	77298	0.5
8063	ENSG00000237765	FAM200B	23903	1
8064	ENSG00000109743	BST1	35248	1
8065	ENSG00000004468	CD38	74957	1
8066	ENSG00000137440	FGFBP1	3163	1
8067	ENSG00000137441	FGFBP2	9064	1
8068	ENSG00000007062	PROM1	121302	1
8069	ENSG00000286280	AC108063.2	3246	1
8070	ENSG00000169762	TAPT1	66905	0.5
8071	ENSG00000249234	AC108063.1	4181	0
8072	ENSG00000263327	TAPT1-AS1	93455	0
8073	ENSG00000286888	AC006427.2	4013	1
8074	ENSG00000248138	AC097515.1	111757	0
8075	ENSG00000169744	LDB2	397137	1
8076	ENSG00000287081	AC104656.1	5875	1
8077	ENSG00000249998	AC106894.1	100628	0
8078	ENSG00000250819	LINC02493	14322	0
8079	ENSG00000151552	QDPR	51945	0
8080	ENSG00000249581	CLRN2	11939	1
8081	ENSG00000002549	LAP3	30780	0
8082	ENSG00000249502	AC006160.1	28318	0
8083	ENSG00000118579	MED28	19464	1
8084	ENSG00000047662	FAM184B	152315	1
8085	ENSG00000163257	DCAF16	10103	1
8086	ENSG00000109805	NCAPG	33886	1
8087	ENSG00000178177	LCORL	180677	1
8088	ENSG00000286046	AC093898.1	470000	1
8089	ENSG00000251048	AC093871.1	1446	0
8090	ENSG00000248238	LINC02438	284659	0
8091	ENSG00000248515	AC024230.1	483030	0
8092	ENSG00000249441	AC110767.1	7412	0
8093	ENSG00000145147	SLIT2	368656	1
8094	ENSG00000248228	SLIT2-IT1	2702	1
8095	ENSG00000163138	PACRGL	56625	1
8096	ENSG00000185774	KCNIP4	1220166	1
8097	ENSG00000272995	AC097505.1	564	0
8098	ENSG00000250243	AC110296.1	46205	0
8099	ENSG00000286318	AC096576.6	2855	1
8100	ENSG00000250092	AC096576.3	31632	0
8101	ENSG00000248343	AC096576.2	21576	0
8102	ENSG00000280650	KCNIP4-IT1	9847	0
8103	ENSG00000250039	AC096719.1	381315	0
8104	ENSG00000152990	ADGRA3	170995	1
8105	ENSG00000248837	AC097512.1	204593	0
8106	ENSG00000249547	AC092440.1	50948	0
8107	ENSG00000250137	AC093607.1	207729	0
8108	ENSG00000251292	ERVH-1	10317	0
8109	ENSG00000109819	PPARGC1A	149048	1
8110	ENSG00000249453	AC092834.1	2970	0
8111	ENSG00000109606	DHX15	67113	0.5
8112	ENSG00000261121	LINC02473	11712	0
8113	ENSG00000109610	SOD3	10930	1
8114	ENSG00000181982	CCDC149	174087	0.5
8115	ENSG00000153012	LGI2	32099	1
8116	ENSG00000109618	SEPSECS	40435	1
8117	ENSG00000281501	SEPSECS-AS1	40799	0
8118	ENSG00000038210	PI4K2B	118541	1
8119	ENSG00000271172	AC104662.1	510	0
8120	ENSG00000168228	ZCCHC4	57609	1
8121	ENSG00000053900	ANAPC4	41285	1
8122	ENSG00000248545	AC105290.1	90291	0
8123	ENSG00000157765	SLC34A2	30737	1
8124	ENSG00000091490	SEL1L3	116327	1
8125	ENSG00000250541	AC092436.3	3311	0
8126	ENSG00000250317	SMIM20	68044	1
8127	ENSG00000251009	AC133961.1	4669	0
8128	ENSG00000283314	LINC02357	33504	1
8129	ENSG00000168214	RBPJ	271676	1
8130	ENSG00000163394	CCKAR	9088	1
8131	ENSG00000109680	TBC1D19	179786	1
8132	ENSG00000109689	STIM2	167780	1
8133	ENSG00000240005	STIM2-AS1	826	0
8134	ENSG00000251080	AC024132.2	6055	0
8135	ENSG00000205830	AC024132.1	10899	0
8136	ENSG00000249699	LINC02261	64746	0
8137	ENSG00000251325	AC024132.3	4748	0
8138	ENSG00000287389	AC007106.2	25312	1
8139	ENSG00000251410	AC007106.1	20546	0
8140	ENSG00000286321	AC093791.2	62328	1
8141	ENSG00000250038	AC093791.1	59074	0
8142	ENSG00000250064	AC097480.1	164826	0
8143	ENSG00000286141	AC097480.2	19854	1
8144	ENSG00000250190	LINC02364	20758	0
8145	ENSG00000249228	AC068944.1	2174	0
8146	ENSG00000248176	AC109349.1	93392	0
8147	ENSG00000248338	LINC02472	77616	0
8148	ENSG00000286596	AC098595.1	3165	1
8149	ENSG00000169851	PCDH7	426390	1
8150	ENSG00000249678	AC097716.1	17713	0
8151	ENSG00000251182	LINC02497	40665	0
8152	ENSG00000251434	AC104071.1	1441	0
8153	ENSG00000249882	LINC02501	52409	0
8154	ENSG00000251129	LINC02506	231167	0
8155	ENSG00000286212	AC097654.1	17407	1
8156	ENSG00000251329	LINC02353	2182	0
8157	ENSG00000286784	AC116611.1	161670	1
8158	ENSG00000287968	AC093606.1	58104	1
8159	ENSG00000248417	AC097535.1	4367	0
8160	ENSG00000288321	AC079772.1	226595	1
8161	ENSG00000250954	AC016687.3	264416	0
8162	ENSG00000250723	AC016687.2	131758	0
8163	ENSG00000248685	LINC02484	215261	0
8164	ENSG00000287320	AC110790.1	40131	1
8165	ENSG00000250597	AC093689.1	11826	0
8166	ENSG00000047365	ARAP2	296293	1
8167	ENSG00000247193	AC104078.1	30104	0
8168	ENSG00000197057	DTHD1	64134	1
8169	ENSG00000251438	AC104078.2	81220	0
8170	ENSG00000248215	LINC02505	145811	0
8171	ENSG00000287416	AC093746.1	11097	1
8172	ENSG00000261761	LINC02616	21727	1
8173	ENSG00000247810	AL136537.1	60168	0
8174	ENSG00000174145	NWD2	204720	1
8175	ENSG00000154274	C4orf19	169570	1
8176	ENSG00000288073	AC022463.1	21703	1
8177	ENSG00000248936	AC027607.1	788	0
8178	ENSG00000181826	RELL1	95576	1
8179	ENSG00000169299	PGM2	36277	1
8180	ENSG00000065882	TBC1D1	248091	0.5
8181	ENSG00000250254	PTTG2	730	1
8182	ENSG00000287659	AC098680.2	3702	1
